codigo_ibge,municipio,percentual_sem_internet
1100015,Alta Floresta D'Oeste - RO,12.65
1100023,Ariquemes - RO,10.94
1100031,Cabixi - RO,8.13
1100049,Cacoal - RO,8.69
1100056,Cerejeiras - RO,9.39
1100064,Colorado do Oeste - RO,11.0
1100072,Corumbiara - RO,16.51
1100080,Costa Marques - RO,16.25
1100098,Espigão D'Oeste - RO,10.02
1100106,Guajará-Mirim - RO,17.96
1100114,Jaru - RO,10.4
1100122,Ji-Paraná - RO,8.37
1100130,Machadinho D'Oeste - RO,17.3
1100148,Nova Brasilândia D'Oeste - RO,12.58
1100155,Ouro Preto do Oeste - RO,8.04
1100189,Pimenta Bueno - RO,10.26
1100205,Porto Velho - RO,10.32
1100254,Presidente Médici - RO,10.32
1100262,Rio Crespo - RO,14.14
1100288,Rolim de Moura - RO,7.17
1100296,Santa Luzia D'Oeste - RO,12.76
1100304,Vilhena - RO,9.16
1100320,São Miguel do Guaporé - RO,12.56
1100338,Nova Mamoré - RO,13.07
1100346,Alvorada D'Oeste - RO,14.32
1100379,Alto Alegre dos Parecis - RO,15.15
1100403,Alto Paraíso - RO,13.14
1100452,Buritis - RO,12.01
1100502,Novo Horizonte do Oeste - RO,11.19
1100601,Cacaulândia - RO,14.96
1100700,Campo Novo de Rondônia - RO,11.73
1100809,Candeias do Jamari - RO,21.24
1100908,Castanheiras - RO,13.03
1100924,Chupinguaia - RO,11.24
1100940,Cujubim - RO,18.29
1101005,Governador Jorge Teixeira - RO,22.1
1101104,Itapuã do Oeste - RO,13.4
1101203,Ministro Andreazza - RO,10.62
1101302,Mirante da Serra - RO,9.89
1101401,Monte Negro - RO,14.1
1101435,Nova União - RO,7.92
1101450,Parecis - RO,16.15
1101468,Pimenteiras do Oeste - RO,17.23
1101476,Primavera de Rondônia - RO,15.71
1101484,São Felipe D'Oeste - RO,10.3
1101492,São Francisco do Guaporé - RO,9.55
1101500,Seringueiras - RO,18.94
1101559,Teixeirópolis - RO,11.25
1101609,Theobroma - RO,16.39
1101708,Urupá - RO,11.08
1101757,Vale do Anari - RO,25.43
1101807,Vale do Paraíso - RO,16.63
1200013,Acrelândia - AC,19.35
1200054,Assis Brasil - AC,35.77
1200104,Brasiléia - AC,28.15
1200138,Bujari - AC,32.7
1200179,Capixaba - AC,35.74
1200203,Cruzeiro do Sul - AC,24.97
1200252,Epitaciolândia - AC,21.97
1200302,Feijó - AC,50.13
1200328,Jordão - AC,52.13
1200336,Mâncio Lima - AC,42.59
1200344,Manoel Urbano - AC,46.94
1200351,Marechal Thaumaturgo - AC,56.84
1200385,Plácido de Castro - AC,24.56
1200393,Porto Walter - AC,45.96
1200401,Rio Branco - AC,14.11
1200427,Rodrigues Alves - AC,42.82
1200435,Santa Rosa do Purus - AC,61.27
1200450,Senador Guiomard - AC,21.86
1200500,Sena Madureira - AC,37.45
1200609,Tarauacá - AC,54.84
1200708,Xapuri - AC,36.26
1200807,Porto Acre - AC,27.34
1300029,Alvarães - AM,50.63
1300060,Amaturá - AM,46.03
1300086,Anamã - AM,24.19
1300102,Anori - AM,30.67
1300144,Apuí - AM,42.22
1300201,Atalaia do Norte - AM,56.58
1300300,Autazes - AM,33.46
1300409,Barcelos - AM,53.28
1300508,Barreirinha - AM,45.39
1300607,Benjamin Constant - AM,42.58
1300631,Beruri - AM,37.63
1300680,Boa Vista do Ramos - AM,48.74
1300706,Boca do Acre - AM,34.35
1300805,Borba - AM,39.71
1300839,Caapiranga - AM,25.64
1300904,Canutama - AM,48.92
1301001,Carauari - AM,36.2
1301100,Careiro - AM,38.71
1301159,Careiro da Várzea - AM,37.07
1301209,Coari - AM,37.35
1301308,Codajás - AM,30.9
1301407,Eirunepé - AM,38.89
1301506,Envira - AM,44.26
1301605,Fonte Boa - AM,59.63
1301654,Guajará - AM,37.89
1301704,Humaitá - AM,20.19
1301803,Ipixuna - AM,58.03
1301852,Iranduba - AM,21.23
1301902,Itacoatiara - AM,30.26
1301951,Itamarati - AM,34.1
1302009,Itapiranga - AM,24.17
1302108,Japurá - AM,33.56
1302207,Juruá - AM,35.75
1302306,Jutaí - AM,51.59
1302405,Lábrea - AM,35.78
1302504,Manacapuru - AM,26.79
1302553,Manaquiri - AM,40.23
1302603,Manaus - AM,10.78
1302702,Manicoré - AM,39.72
1302801,Maraã - AM,53.57
1302900,Maués - AM,47.62
1303007,Nhamundá - AM,51.52
1303106,Nova Olinda do Norte - AM,36.78
1303205,Novo Airão - AM,26.39
1303304,Novo Aripuanã - AM,45.53
1303403,Parintins - AM,27.42
1303502,Pauini - AM,49.74
1303536,Presidente Figueiredo - AM,22.03
1303569,Rio Preto da Eva - AM,29.87
1303601,Santa Isabel do Rio Negro - AM,71.74
1303700,Santo Antônio do Içá - AM,61.56
1303809,São Gabriel da Cachoeira - AM,56.49
1303908,São Paulo de Olivença - AM,55.64
1303957,São Sebastião do Uatumã - AM,30.36
1304005,Silves - AM,40.81
1304062,Tabatinga - AM,43.58
1304104,Tapauá - AM,55.15
1304203,Tefé - AM,34.43
1304237,Tonantins - AM,65.13
1304260,Uarini - AM,52.67
1304302,Urucará - AM,35.14
1304401,Urucurituba - AM,40.39
1400027,Amajari - RR,53.08
1400050,Alto Alegre - RR,48.88
1400100,Boa Vista - RR,9.43
1400159,Bonfim - RR,45.98
1400175,Cantá - RR,36.09
1400209,Caracaraí - RR,37.02
1400233,Caroebe - RR,23.74
1400282,Iracema - RR,42.24
1400308,Mucajaí - RR,24.91
1400407,Normandia - RR,53.77
1400456,Pacaraima - RR,35.37
1400472,Rorainópolis - RR,28.46
1400506,São João da Baliza - RR,24.16
1400605,São Luiz do Anauá - RR,32.32
1400704,Uiramutã - RR,74.48
1500107,Abaetetuba - PA,22.02
1500131,Abel Figueiredo - PA,14.06
1500206,Acará - PA,50.51
1500305,Afuá - PA,49.39
1500347,Água Azul do Norte - PA,15.06
1500404,Alenquer - PA,41.25
1500503,Almeirim - PA,29.8
1500602,Altamira - PA,17.13
1500701,Anajás - PA,47.25
1500800,Ananindeua - PA,11.46
1500859,Anapu - PA,24.19
1500909,Augusto Corrêa - PA,49.85
1500958,Aurora do Pará - PA,38.87
1501006,Aveiro - PA,40.72
1501105,Bagre - PA,55.77
1501204,Baião - PA,41.5
