codigo_ibge,municipio,percentual_sem_internet,renda_mediana_per_capita
1100015,Alta Floresta D'Oeste - RO,12.65,920.0
1100023,Ariquemes - RO,10.94,1066.67
1100031,Cabixi - RO,8.13,1033.33
1100049,Cacoal - RO,8.69,1200.0
1100056,Cerejeiras - RO,9.39,1200.0
1100064,Colorado do Oeste - RO,11.0,1200.0
1100072,Corumbiara - RO,16.51,981.0
1100080,Costa Marques - RO,16.25,775.0
1100098,Espigão D'Oeste - RO,10.02,1080.0
1100106,Guajará-Mirim - RO,17.96,583.33
1100114,Jaru - RO,10.4,1053.0
1100122,Ji-Paraná - RO,8.37,1062.4
1100130,Machadinho D'Oeste - RO,17.3,819.33
1100148,Nova Brasilândia D'Oeste - RO,12.58,750.0
1100155,Ouro Preto do Oeste - RO,8.04,1000.0
1100189,Pimenta Bueno - RO,10.26,1066.67
1100205,Porto Velho - RO,10.32,866.67
1100254,Presidente Médici - RO,10.32,875.0
1100262,Rio Crespo - RO,14.14,909.0
1100288,Rolim de Moura - RO,7.17,1125.0
1100296,Santa Luzia D'Oeste - RO,12.76,906.0
1100304,Vilhena - RO,9.16,1212.0
1100320,São Miguel do Guaporé - RO,12.56,990.0
1100338,Nova Mamoré - RO,13.07,866.67
1100346,Alvorada D'Oeste - RO,14.32,850.0
1100379,Alto Alegre dos Parecis - RO,15.15,840.0
1100403,Alto Paraíso - RO,13.14,875.0
1100452,Buritis - RO,12.01,1000.0
1100502,Novo Horizonte do Oeste - RO,11.19,808.0
1100601,Cacaulândia - RO,14.96,900.0
1100700,Campo Novo de Rondônia - RO,11.73,731.0
1100809,Candeias do Jamari - RO,21.24,680.0
1100908,Castanheiras - RO,13.03,998.5
1100924,Chupinguaia - RO,11.24,1000.0
1100940,Cujubim - RO,18.29,800.0
1101005,Governador Jorge Teixeira - RO,22.1,704.0
1101104,Itapuã do Oeste - RO,13.4,775.0
1101203,Ministro Andreazza - RO,10.62,925.0
1101302,Mirante da Serra - RO,9.89,857.5
1101401,Monte Negro - RO,14.1,906.0
1101435,Nova União - RO,7.92,700.0
1101450,Parecis - RO,16.15,800.0
1101468,Pimenteiras do Oeste - RO,17.23,666.67
1101476,Primavera de Rondônia - RO,15.71,725.0
1101484,São Felipe D'Oeste - RO,10.3,1102.4
1101492,São Francisco do Guaporé - RO,9.55,980.0
1101500,Seringueiras - RO,18.94,742.4
1101559,Teixeirópolis - RO,11.25,904.0
1101609,Theobroma - RO,16.39,800.0
1101708,Urupá - RO,11.08,875.0
1101757,Vale do Anari - RO,25.43,808.0
1101807,Vale do Paraíso - RO,16.63,906.0
1200013,Acrelândia - AC,19.35,650.0
1200054,Assis Brasil - AC,35.77,492.67
1200104,Brasiléia - AC,28.15,606.0
1200138,Bujari - AC,32.7,453.0
1200179,Capixaba - AC,35.74,600.0
1200203,Cruzeiro do Sul - AC,24.97,600.0
1200252,Epitaciolândia - AC,21.97,670.67
1200302,Feijó - AC,50.13,400.0
1200328,Jordão - AC,52.13,300.0
1200336,Mâncio Lima - AC,42.59,453.0
1200344,Manoel Urbano - AC,46.94,433.33
1200351,Marechal Thaumaturgo - AC,56.84,337.5
1200385,Plácido de Castro - AC,24.56,633.33
1200393,Porto Walter - AC,45.96,400.0
1200401,Rio Branco - AC,14.11,833.33
1200427,Rodrigues Alves - AC,42.82,400.0
1200435,Santa Rosa do Purus - AC,61.27,266.67
1200450,Senador Guiomard - AC,21.86,681.0
1200500,Sena Madureira - AC,37.45,500.0
1200609,Tarauacá - AC,54.84,303.0
1200708,Xapuri - AC,36.26,606.0
1200807,Porto Acre - AC,27.34,533.33
1300029,Alvarães - AM,50.63,385.71
1300060,Amaturá - AM,46.03,330.29
1300086,Anamã - AM,24.19,402.4
1300102,Anori - AM,30.67,442.4
1300144,Apuí - AM,42.22,685.71
1300201,Atalaia do Norte - AM,56.58,285.0
1300300,Autazes - AM,33.46,450.0
1300409,Barcelos - AM,53.28,379.11
1300508,Barreirinha - AM,45.39,364.0
1300607,Benjamin Constant - AM,42.58,320.0
1300631,Beruri - AM,37.63,347.67
1300680,Boa Vista do Ramos - AM,48.74,382.4
1300706,Boca do Acre - AM,34.35,444.44
1300805,Borba - AM,39.71,381.82
1300839,Caapiranga - AM,25.64,314.29
1300904,Canutama - AM,48.92,416.0
1301001,Carauari - AM,36.2,400.0
1301100,Careiro - AM,38.71,500.0
1301159,Careiro da Várzea - AM,37.07,450.0
1301209,Coari - AM,37.35,375.0
1301308,Codajás - AM,30.9,400.0
1301407,Eirunepé - AM,38.89,400.0
1301506,Envira - AM,44.26,403.0
1301605,Fonte Boa - AM,59.63,465.38
1301654,Guajará - AM,37.89,450.0
1301704,Humaitá - AM,20.19,566.67
1301803,Ipixuna - AM,58.03,333.77
1301852,Iranduba - AM,21.23,600.0
1301902,Itacoatiara - AM,30.26,487.5
1301951,Itamarati - AM,34.1,320.0
1302009,Itapiranga - AM,24.17,473.14
1302108,Japurá - AM,33.56,532.0
1302207,Juruá - AM,35.75,356.89
1302306,Jutaí - AM,51.59,372.4
1302405,Lábrea - AM,35.78,407.5
1302504,Manacapuru - AM,26.79,460.0
1302553,Manaquiri - AM,40.23,350.0
1302603,Manaus - AM,10.78,686.0
1302702,Manicoré - AM,39.72,433.33
1302801,Maraã - AM,53.57,328.57
1302900,Maués - AM,47.62,325.0
1303007,Nhamundá - AM,51.52,400.0
1303106,Nova Olinda do Norte - AM,36.78,416.67
1303205,Novo Airão - AM,26.39,452.0
1303304,Novo Aripuanã - AM,45.53,450.0
1303403,Parintins - AM,27.42,500.0
1303502,Pauini - AM,49.74,300.0
1303536,Presidente Figueiredo - AM,22.03,666.67
1303569,Rio Preto da Eva - AM,29.87,563.57
1303601,Santa Isabel do Rio Negro - AM,71.74,320.0
1303700,Santo Antônio do Içá - AM,61.56,310.0
1303809,São Gabriel da Cachoeira - AM,56.49,327.27
1303908,São Paulo de Olivença - AM,55.64,266.67
1303957,São Sebastião do Uatumã - AM,30.36,462.4
1304005,Silves - AM,40.81,400.0
1304062,Tabatinga - AM,43.58,411.11
1304104,Tapauá - AM,55.15,362.4
1304203,Tefé - AM,34.43,475.0
1304237,Tonantins - AM,65.13,311.11
1304260,Uarini - AM,52.67,375.0
1304302,Urucará - AM,35.14,504.8
1304401,Urucurituba - AM,40.39,450.0
1400027,Amajari - RR,53.08,278.0
1400050,Alto Alegre - RR,48.88,160.0
1400100,Boa Vista - RR,9.43,800.0
