codigo_ibge,municipio,renda_mediana_per_capita
1100015,Alta Floresta D'Oeste - RO,920.0
1100023,Ariquemes - RO,1066.67
1100031,Cabixi - RO,1033.33
1100049,Cacoal - RO,1200.0
1100056,Cerejeiras - RO,1200.0
1100064,Colorado do Oeste - RO,1200.0
1100072,Corumbiara - RO,981.0
1100080,Costa Marques - RO,775.0
1100098,Espigão D'Oeste - RO,1080.0
1100106,Guajará-Mirim - RO,583.33
1100114,Jaru - RO,1053.0
1100122,Ji-Paraná - RO,1062.4
1100130,Machadinho D'Oeste - RO,819.33
1100148,Nova Brasilândia D'Oeste - RO,750.0
1100155,Ouro Preto do Oeste - RO,1000.0
1100189,Pimenta Bueno - RO,1066.67
1100205,Porto Velho - RO,866.67
1100254,Presidente Médici - RO,875.0
1100262,Rio Crespo - RO,909.0
1100288,Rolim de Moura - RO,1125.0
1100296,Santa Luzia D'Oeste - RO,906.0
1100304,Vilhena - RO,1212.0
1100320,São Miguel do Guaporé - RO,990.0
1100338,Nova Mamoré - RO,866.67
1100346,Alvorada D'Oeste - RO,850.0
1100379,Alto Alegre dos Parecis - RO,840.0
1100403,Alto Paraíso - RO,875.0
1100452,Buritis - RO,1000.0
1100502,Novo Horizonte do Oeste - RO,808.0
1100601,Cacaulândia - RO,900.0
1100700,Campo Novo de Rondônia - RO,731.0
1100809,Candeias do Jamari - RO,680.0
1100908,Castanheiras - RO,998.5
1100924,Chupinguaia - RO,1000.0
1100940,Cujubim - RO,800.0
1101005,Governador Jorge Teixeira - RO,704.0
1101104,Itapuã do Oeste - RO,775.0
1101203,Ministro Andreazza - RO,925.0
1101302,Mirante da Serra - RO,857.5
1101401,Monte Negro - RO,906.0
1101435,Nova União - RO,700.0
1101450,Parecis - RO,800.0
1101468,Pimenteiras do Oeste - RO,666.67
1101476,Primavera de Rondônia - RO,725.0
1101484,São Felipe D'Oeste - RO,1102.4
1101492,São Francisco do Guaporé - RO,980.0
1101500,Seringueiras - RO,742.4
1101559,Teixeirópolis - RO,904.0
1101609,Theobroma - RO,800.0
1101708,Urupá - RO,875.0
1101757,Vale do Anari - RO,808.0
1101807,Vale do Paraíso - RO,906.0
1200013,Acrelândia - AC,650.0
1200054,Assis Brasil - AC,492.67
1200104,Brasiléia - AC,606.0
1200138,Bujari - AC,453.0
1200179,Capixaba - AC,600.0
1200203,Cruzeiro do Sul - AC,600.0
1200252,Epitaciolândia - AC,670.67
1200302,Feijó - AC,400.0
1200328,Jordão - AC,300.0
1200336,Mâncio Lima - AC,453.0
1200344,Manoel Urbano - AC,433.33
1200351,Marechal Thaumaturgo - AC,337.5
1200385,Plácido de Castro - AC,633.33
1200393,Porto Walter - AC,400.0
1200401,Rio Branco - AC,833.33
1200427,Rodrigues Alves - AC,400.0
1200435,Santa Rosa do Purus - AC,266.67
1200450,Senador Guiomard - AC,681.0
1200500,Sena Madureira - AC,500.0
1200609,Tarauacá - AC,303.0
1200708,Xapuri - AC,606.0
1200807,Porto Acre - AC,533.33
1300029,Alvarães - AM,385.71
1300060,Amaturá - AM,330.29
1300086,Anamã - AM,402.4
1300102,Anori - AM,442.4
1300144,Apuí - AM,685.71
1300201,Atalaia do Norte - AM,285.0
1300300,Autazes - AM,450.0
1300409,Barcelos - AM,379.11
1300508,Barreirinha - AM,364.0
1300607,Benjamin Constant - AM,320.0
1300631,Beruri - AM,347.67
1300680,Boa Vista do Ramos - AM,382.4
1300706,Boca do Acre - AM,444.44
1300805,Borba - AM,381.82
1300839,Caapiranga - AM,314.29
1300904,Canutama - AM,416.0
1301001,Carauari - AM,400.0
1301100,Careiro - AM,500.0
1301159,Careiro da Várzea - AM,450.0
1301209,Coari - AM,375.0
1301308,Codajás - AM,400.0
1301407,Eirunepé - AM,400.0
1301506,Envira - AM,403.0
1301605,Fonte Boa - AM,465.38
1301654,Guajará - AM,450.0
1301704,Humaitá - AM,566.67
1301803,Ipixuna - AM,333.77
1301852,Iranduba - AM,600.0
1301902,Itacoatiara - AM,487.5
1301951,Itamarati - AM,320.0
1302009,Itapiranga - AM,473.14
1302108,Japurá - AM,532.0
1302207,Juruá - AM,356.89
1302306,Jutaí - AM,372.4
1302405,Lábrea - AM,407.5
1302504,Manacapuru - AM,460.0
1302553,Manaquiri - AM,350.0
1302603,Manaus - AM,686.0
1302702,Manicoré - AM,433.33
1302801,Maraã - AM,328.57
1302900,Maués - AM,325.0
1303007,Nhamundá - AM,400.0
1303106,Nova Olinda do Norte - AM,416.67
1303205,Novo Airão - AM,452.0
1303304,Novo Aripuanã - AM,450.0
1303403,Parintins - AM,500.0
1303502,Pauini - AM,300.0
1303536,Presidente Figueiredo - AM,666.67
1303569,Rio Preto da Eva - AM,563.57
1303601,Santa Isabel do Rio Negro - AM,320.0
1303700,Santo Antônio do Içá - AM,310.0
1303809,São Gabriel da Cachoeira - AM,327.27
1303908,São Paulo de Olivença - AM,266.67
1303957,São Sebastião do Uatumã - AM,462.4
1304005,Silves - AM,400.0
1304062,Tabatinga - AM,411.11
1304104,Tapauá - AM,362.4
1304203,Tefé - AM,475.0
1304237,Tonantins - AM,311.11
1304260,Uarini - AM,375.0
1304302,Urucará - AM,504.8
1304401,Urucurituba - AM,450.0
1400027,Amajari - RR,278.0
1400050,Alto Alegre - RR,160.0
1400100,Boa Vista - RR,800.0
1400159,Bonfim - RR,380.0
1400175,Cantá - RR,500.0
1400209,Caracaraí - RR,482.4
1400233,Caroebe - RR,606.0
1400282,Iracema - RR,600.0
1400308,Mucajaí - RR,600.0
1400407,Normandia - RR,300.0
1400456,Pacaraima - RR,318.18
1400472,Rorainópolis - RR,600.0
1400506,São João da Baliza - RR,610.0
1400605,São Luiz do Anauá - RR,537.33
1400704,Uiramutã - RR,171.43
1500107,Abaetetuba - PA,537.33
1500131,Abel Figueiredo - PA,628.0
1500206,Acará - PA,375.0
1500305,Afuá - PA,333.33
1500347,Água Azul do Norte - PA,756.0
1500404,Alenquer - PA,400.0
1500503,Almeirim - PA,487.5
1500602,Altamira - PA,808.0
1500701,Anajás - PA,305.0
1500800,Ananindeua - PA,806.0
1500859,Anapu - PA,500.0
1500909,Augusto Corrêa - PA,300.0
1500958,Aurora do Pará - PA,403.0
1501006,Aveiro - PA,303.0
1501105,Bagre - PA,233.33
1501204,Baião - PA,316.0
1501253,Bannach - PA,666.67
1501303,Barcarena - PA,666.67
1501402,Belém - PA,842.4
1501451,Belterra - PA,500.0
1501501,Benevides - PA,606.0
1501576,Bom Jesus do Tocantins - PA,684.8
1501600,Bonito - PA,550.0
1501709,Bragança - PA,529.5
1501725,Brasil Novo - PA,546.29
1501758,Brejo Grande do Araguaia - PA,575.0
1501782,Breu Branco - PA,533.33
1501808,Breves - PA,375.0
1501907,Bujaru - PA,387.5
1501956,Cachoeira do Piriá - PA,400.0
1502004,Cachoeira do Arari - PA,349.0
1502103,Cametá - PA,400.0
1502152,Canaã dos Carajás - PA,940.0
1502202,Capanema - PA,670.67
1502301,Capitão Poço - PA,525.0
1502400,Castanhal - PA,670.67
1502509,Chaves - PA,366.67
1502608,Colares - PA,404.0
1502707,Conceição do Araguaia - PA,714.29
1502756,Concórdia do Pará - PA,516.67
1502764,Cumaru do Norte - PA,680.0
1502772,Curionópolis - PA,750.0
1502806,Curralinho - PA,262.5
1502855,Curuá - PA,394.17
1502905,Curuçá - PA,400.0
1502939,Dom Eliseu - PA,604.0
1502954,Eldorado do Carajás - PA,600.0
1503002,Faro - PA,450.0
1503044,Floresta do Araguaia - PA,592.4
1503077,Garrafão do Norte - PA,425.0
1503093,Goianésia do Pará - PA,600.0
1503101,Gurupá - PA,420.4
1503200,Igarapé-Açu - PA,500.0
1503309,Igarapé-Miri - PA,433.33
1503408,Inhangapi - PA,500.0
1503457,Ipixuna do Pará - PA,403.0
1503507,Irituia - PA,450.0
1503606,Itaituba - PA,800.0
1503705,Itupiranga - PA,489.0
1503754,Jacareacanga - PA,470.0
1503804,Jacundá - PA,650.0
1503903,Juruti - PA,414.29
1504000,Limoeiro do Ajuru - PA,300.0
1504059,Mãe do Rio - PA,550.0
1504109,Magalhães Barata - PA,404.0
1504208,Marabá - PA,737.33
1504307,Maracanã - PA,440.0
1504406,Marapanim - PA,400.0
1504422,Marituba - PA,625.0
1504455,Medicilândia - PA,538.0
1504505,Melgaço - PA,250.0
1504604,Mocajuba - PA,450.0
1504703,Moju - PA,468.67
1504752,Mojuí dos Campos - PA,568.67
1504802,Monte Alegre - PA,450.0
1504901,Muaná - PA,350.0
1504950,Nova Esperança do Piriá - PA,350.0
1504976,Nova Ipixuna - PA,575.0
1505007,Nova Timboteua - PA,466.67
1505031,Novo Progresso - PA,1000.0
1505064,Novo Repartimento - PA,525.0
1505106,Óbidos - PA,404.0
1505205,Oeiras do Pará - PA,301.09
1505304,Oriximiná - PA,453.0
1505403,Ourém - PA,433.33
1505437,Ourilândia do Norte - PA,625.0
1505486,Pacajá - PA,483.33
1505494,Palestina do Pará - PA,606.0
1505502,Paragominas - PA,672.5
1505536,Parauapebas - PA,875.0
1505551,Pau D'Arco - PA,680.0
1505601,Peixe-Boi - PA,537.33
1505635,Piçarra - PA,660.0
1505650,Placas - PA,500.0
1505700,Ponta de Pedras - PA,362.4
1505809,Portel - PA,316.0
1505908,Porto de Moz - PA,316.0
1506005,Prainha - PA,302.0
1506104,Primavera - PA,450.0
1506112,Quatipuru - PA,471.75
1506138,Redenção - PA,896.0
1506161,Rio Maria - PA,700.0
1506187,Rondon do Pará - PA,650.0
1506195,Rurópolis - PA,561.2
1506203,Salinópolis - PA,606.0
1506302,Salvaterra - PA,403.0
1506351,Santa Bárbara do Pará - PA,600.0
1506401,Santa Cruz do Arari - PA,406.75
1506500,Santa Izabel do Pará - PA,616.67
1506559,Santa Luzia do Pará - PA,470.67
1506583,Santa Maria das Barreiras - PA,804.0
1506609,Santa Maria do Pará - PA,597.33
1506708,Santana do Araguaia - PA,800.0
1506807,Santarém - PA,633.33
1506906,Santarém Novo - PA,537.33
1507003,Santo Antônio do Tauá - PA,500.0
1507102,São Caetano de Odivelas - PA,400.0
1507151,São Domingos do Araguaia - PA,600.0
1507201,São Domingos do Capim - PA,362.4
1507300,São Félix do Xingu - PA,740.0
1507409,São Francisco do Pará - PA,501.5
1507458,São Geraldo do Araguaia - PA,606.0
1507466,São João da Ponta - PA,403.0
1507474,São João de Pirabas - PA,428.0
1507508,São João do Araguaia - PA,480.0
1507607,São Miguel do Guamá - PA,520.0
1507706,São Sebastião da Boa Vista - PA,366.67
1507755,Sapucaia - PA,600.0
1507805,Senador José Porfírio - PA,428.57
1507904,Soure - PA,487.43
1507953,Tailândia - PA,600.0
1507961,Terra Alta - PA,487.5
1507979,Terra Santa - PA,516.67
1508001,Tomé-Açu - PA,516.67
1508035,Tracuateua - PA,395.0
1508050,Trairão - PA,718.67
1508084,Tucumã - PA,800.0
1508100,Tucuruí - PA,704.0
1508126,Ulianópolis - PA,562.4
1508159,Uruará - PA,606.0
1508209,Vigia - PA,542.4
1508308,Viseu - PA,341.67
1508357,Vitória do Xingu - PA,606.0
1508407,Xinguara - PA,808.0
1600055,Serra do Navio - AP,810.33
1600105,Amapá - AP,537.33
1600154,Pedra Branca do Amapari - AP,633.33
